,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
54953,Rhys Lewis,No Right To Love You - Acoustic,58VJmNB8oeoE2PRqCrduEo,58,4T2k9bgIoC8bbqjqiEl9vZ,['4T2k9bgIoC8bbqjqiEl9vZ'],['Rhys Lewis'],2020,pop,0.469,0.27,1,-10.592,1,0.0472,0.879,0.0,0.151,0.51,166.064,audio_features,58VJmNB8oeoE2PRqCrduEo,spotify:track:58VJmNB8oeoE2PRqCrduEo,https://api.spotify.com/v1/tracks/58VJmNB8oeoE2PRqCrduEo,https://api.spotify.com/v1/audio-analysis/58VJmNB8oeoE2PRqCrduEo,229960,4
13382,Urbangarde,Be Your Angel (Android52 REMIX),7u2nehnHDXBbgeV3DgvBZP,35,0JC8ZhgJmREcWqrhlUL9vo,"['0JC8ZhgJmREcWqrhlUL9vo', '3D4WFT29xe0sfSkXNvpmRG']","['Urbangarde', 'Android52']",2021,new wave,0.595,0.862,7,-7.969,0,0.19,0.0338,0.000194,0.877,0.585,127.931,audio_features,7u2nehnHDXBbgeV3DgvBZP,spotify:track:7u2nehnHDXBbgeV3DgvBZP,https://api.spotify.com/v1/tracks/7u2nehnHDXBbgeV3DgvBZP,https://api.spotify.com/v1/audio-analysis/7u2nehnHDXBbgeV3DgvBZP,243000,4
38509,Alicia Keys,That Would Be Enough,2MNUjJQ9rhoCqFtWYLT3ke,48,3DiDSECUqqY1AuBP8qtaIa,['3DiDSECUqqY1AuBP8qtaIa'],['Alicia Keys'],2016,urban contemporary,0.444,0.49,2,-7.892,1,0.0436,0.646,2.56e-06,0.319,0.152,80.083,audio_features,2MNUjJQ9rhoCqFtWYLT3ke,spotify:track:2MNUjJQ9rhoCqFtWYLT3ke,https://api.spotify.com/v1/tracks/2MNUjJQ9rhoCqFtWYLT3ke,https://api.spotify.com/v1/audio-analysis/2MNUjJQ9rhoCqFtWYLT3ke,244973,4
12995,Like A Storm,Death By a Thousand Cuts,5MbVHsjrMrLJkK2GUERvdi,42,5gFZo6Oh5WehnbEj0XtxiF,['5gFZo6Oh5WehnbEj0XtxiF'],['Like A Storm'],2021,post-grunge,0.504,0.961,11,-5.984,1,0.0853,0.000397,0.00143,0.172,0.0973,110.034,audio_features,5MbVHsjrMrLJkK2GUERvdi,spotify:track:5MbVHsjrMrLJkK2GUERvdi,https://api.spotify.com/v1/tracks/5MbVHsjrMrLJkK2GUERvdi,https://api.spotify.com/v1/audio-analysis/5MbVHsjrMrLJkK2GUERvdi,302873,4
48388,Eduardo Costa,Cada Volta é um Recomeço,5PtdbnDpX6s0g6VkbdfIJf,50,2OUgs5INWK2UEvZ6amWiJr,['2OUgs5INWK2UEvZ6amWiJr'],['Eduardo Costa'],2017,sertanejo universitario,0.647,0.521,9,-5.155,1,0.0475,0.788,0.0,0.168,0.593,145.028,audio_features,5PtdbnDpX6s0g6VkbdfIJf,spotify:track:5PtdbnDpX6s0g6VkbdfIJf,https://api.spotify.com/v1/tracks/5PtdbnDpX6s0g6VkbdfIJf,https://api.spotify.com/v1/audio-analysis/5PtdbnDpX6s0g6VkbdfIJf,261720,4
30102,Wale,My Boy (feat. J. Cole) - Freestyle,11QvWp3CsEPd0YLE6xKGyx,53,67nwj3Y5sZQLl72VNUHEYE,"['67nwj3Y5sZQLl72VNUHEYE', '6l3HvQ5sa6mXTsMTB19rO5']","['Wale', 'J. Cole']",2018,urban contemporary,0.814,0.737,7,-4.826,1,0.259,0.197,0.0,0.0954,0.461,171.687,audio_features,11QvWp3CsEPd0YLE6xKGyx,spotify:track:11QvWp3CsEPd0YLE6xKGyx,https://api.spotify.com/v1/tracks/11QvWp3CsEPd0YLE6xKGyx,https://api.spotify.com/v1/audio-analysis/11QvWp3CsEPd0YLE6xKGyx,269658,4
41885,DaBaby,Count on me,2JzeJphUuFTNSnzJ12aLu9,64,4r63FhuTkUYltbVAg5TQnk,"['4r63FhuTkUYltbVAg5TQnk', '7wlFDEWiM5OoIAt8RSli8b']","['DaBaby', 'YoungBoy Never Broke Again']",2022,rap,0.641,0.528,0,-7.068,1,0.217,0.191,0.0,0.125,0.287,82.335,audio_features,2JzeJphUuFTNSnzJ12aLu9,spotify:track:2JzeJphUuFTNSnzJ12aLu9,https://api.spotify.com/v1/tracks/2JzeJphUuFTNSnzJ12aLu9,https://api.spotify.com/v1/audio-analysis/2JzeJphUuFTNSnzJ12aLu9,174545,4
47830,Jon Pardi,Dirt On My Boots - Remix,3S86G5H2vQbmaOGIg0UXKr,52,4MoAOfV4ROWofLG3a3hhBN,"['4MoAOfV4ROWofLG3a3hhBN', '6wijYgUom6JRsTxdRqlx4n']","['Jon Pardi', 'Will Weatherly']",2017,country rock,0.598,0.722,11,-5.351,1,0.0243,0.00253,0.0,0.21,0.218,89.994,audio_features,3S86G5H2vQbmaOGIg0UXKr,spotify:track:3S86G5H2vQbmaOGIg0UXKr,https://api.spotify.com/v1/tracks/3S86G5H2vQbmaOGIg0UXKr,https://api.spotify.com/v1/audio-analysis/3S86G5H2vQbmaOGIg0UXKr,206120,4
38436,BTS,Butterfly - Prologue Mix,0XwvxY5yMRI7vh55eBRe3B,61,3Nrfpe0tUJi4K4DXYWgMUX,['3Nrfpe0tUJi4K4DXYWgMUX'],['BTS'],2016,k-pop,0.373,0.541,1,-6.451,1,0.0526,0.0446,0.001,0.0909,0.134,69.98,audio_features,0XwvxY5yMRI7vh55eBRe3B,spotify:track:0XwvxY5yMRI7vh55eBRe3B,https://api.spotify.com/v1/tracks/0XwvxY5yMRI7vh55eBRe3B,https://api.spotify.com/v1/audio-analysis/0XwvxY5yMRI7vh55eBRe3B,295128,4
52515,Bappi Lahiri,"Bhankas (From ""Baaghi 3"")",4qhGDmLQ7Rbyqkm7cwjLps,49,2jqTyPt0UZGrthPF4KMpeN,"['2jqTyPt0UZGrthPF4KMpeN', '04FsFHujpuqonrPXZrEJlK', '00sCATpEvwH48ays7PlQFU', '4f7KfxeHq9BiylGmyXepGt']","['Bappi Lahiri', 'Dev Negi', 'Jonita Gandhi', 'Tanishk Bagchi']",2020,desi pop,0.62,0.966,1,-3.72,1,0.334,0.469,1.79e-06,0.0464,0.783,112.969,audio_features,4qhGDmLQ7Rbyqkm7cwjLps,spotify:track:4qhGDmLQ7Rbyqkm7cwjLps,https://api.spotify.com/v1/tracks/4qhGDmLQ7Rbyqkm7cwjLps,https://api.spotify.com/v1/audio-analysis/4qhGDmLQ7Rbyqkm7cwjLps,158467,3
